@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',27,1074,0.28,1,0,0,0.106287,6.232393,3.146956,250
'Entire home/apt',119,79,0.9,1,265,9,0.045831,8.411618,4.966485,170
'Entire home/apt',281,71,1.99,2,252,28,0.12668,9.257242,5.695326,174
'Entire home/apt',32,598,0.23,1,0,0,0.043648,7.707856,1.903729,120
'Entire home/apt',35,86,0.29,1,0,7,0.314331,9.102479,5.746064,325
'Private room',4,1128,0.03,1,0,0,0.857342,8.340758,9.12864,80
'Entire home/apt',194,86,1.55,2,242,58,0.218461,9.272393,5.329808,210
'Entire home/apt',80,420,0.6,1,0,1,0.326181,8.280798,6.032289,70
'Entire home/apt',42,115,0.34,1,20,7,0.22627,4.323899,3.284189,130
'Private room',513,96,3.46,2,296,28,0.162052,7.908322,4.960746,97
'Private room',92,1010,0.63,2,345,0,0.133507,8.162939,5.134155,139
'Entire home/apt',284,108,1.92,1,272,17,0.190266,6.371702,3.293801,195
'Entire home/apt',178,142,1.32,1,241,5,0.325271,6.503303,3.365462,153
'Entire home/apt',74,142,0.53,1,119,5,0.448758,6.594901,3.170946,155
'Entire home/apt',82,88,0.6,1,264,4,0.581082,6.813491,2.4342,215
'Private room',105,1050,0.76,1,0,0,0.186349,4.969173,3.482945,120
'Entire home/apt',20,762,0.15,1,163,0,0.125198,5.292028,2.242608,139
'Entire home/apt',263,979,1.95,1,187,0,0.186759,8.665581,4.993943,100
'Private room',59,78,0.41,1,276,25,0.305656,3.872324,3.333224,76
'Entire home/apt',39,86,0.31,2,353,2,0.246174,9.053017,5.757591,900
'Entire home/apt',22,2927,0.16,1,0,0,0.432493,6.836098,2.299898,100
'Entire home/apt',141,167,0.96,1,230,5,0.064449,7.787171,2.007308,200
'Entire home/apt',27,1419,0.19,1,3,0,0.378069,6.560106,3.313811,150
'Entire home/apt',29,114,0.21,2,108,7,0.1485,4.860256,3.80208,599
'Entire home/apt',39,72,0.32,1,222,12,0.114603,8.706787,5.083836,900
'Private room',245,124,1.66,2,5,13,0.149503,6.273043,3.774634,150
'Private room',32,2506,0.33,1,0,0,0.265829,7.192593,2.417169,67
'Private room',44,1412,0.3,2,6,0,0.150643,6.424511,0.328115,139
'Private room',0,-1,0,1,0,0,0.237394,2.809509,3.54161,55
'Entire home/apt',18,3455,0.13,1,0,0,0.16547,7.782254,2.113324,175
'Entire home/apt',34,306,0.26,1,323,1,0.089791,5.622764,2.184526,210
'Private room',29,1059,0.2,1,183,0,0.109908,3.53462,3.514906,78
'Entire home/apt',337,1069,2.3,2,0,0,0.272234,7.68372,5.661216,135
'Entire home/apt',90,73,0.74,1,327,8,0.096686,5.83769,3.8551,330
'Entire home/apt',269,78,2.13,2,205,36,0.275514,5.20023,3.13896,173
'Private room',7,1116,0.07,1,249,0,0.031977,5.509296,2.50771,100
'Entire home/apt',0,-1,0,1,0,0,0.101189,4.326033,2.598827,250
'Entire home/apt',234,117,1.67,1,65,11,0.060493,7.755454,2.671445,596
'Entire home/apt',59,167,0.47,1,5,3,0.053508,6.025892,1.417902,160
'Entire home/apt',71,105,0.48,1,261,8,0.118835,7.608436,2.649028,671
'Entire home/apt',188,93,1.29,3,344,18,0.343242,9.230638,5.572521,203
'Private room',178,103,1.28,1,265,2,3.267372,5.725986,9.320906,70
'Entire home/apt',0,-1,0,1,0,0,0.137699,4.886109,4.726746,100
'Entire home/apt',4,1669,0.07,1,219,0,0.132346,6.52881,0.904329,185
'Private room',231,1008,1.59,2,365,0,0.404118,7.922831,4.562418,110
'Entire home/apt',126,100,0.87,1,112,3,0.154716,6.414041,3.838908,98
'Entire home/apt',36,177,0.32,2,305,1,0.138408,5.359533,5.816068,332
'Entire home/apt',58,122,0.41,2,64,4,0.16004,7.751112,2.923683,155
'Entire home/apt',38,85,0.28,1,36,5,0.221076,7.250612,2.60221,250
'Entire home/apt',44,177,0.35,1,341,1,0.181608,7.778744,2.132678,225
'Entire home/apt',18,1429,0.37,1,0,0,0.164114,4.910324,5.331268,100
'Private room',339,74,2.32,3,118,59,0.087103,8.32659,4.83575,65
'Entire home/apt',19,282,0.14,1,0,1,0.387026,6.525819,3.146243,140
'Entire home/apt',50,3108,0.36,1,0,0,0.163859,5.625918,2.562657,229
'Entire home/apt',507,78,3.79,1,252,38,0.051069,2.608863,3.966952,151
'Entire home/apt',0,-1,0,2,0,0,0.209514,10.70423,10.517457,184
'Entire home/apt',0,-1,0,1,0,0,0.418555,9.273143,5.923984,150
'Entire home/apt',15,116,0.3,2,249,5,0.295851,6.636332,9.037748,90
'Entire home/apt',299,87,2.24,3,278,40,0.197054,4.638476,3.77511,350
'Entire home/apt',37,1369,0.27,1,0,0,0.135498,5.695512,1.420342,110
'Entire home/apt',15,2465,0.11,1,0,0,0.332937,3.800686,3.418169,79
'Private room',113,72,1.11,3,121,41,0.157428,8.372252,4.79709,85
'Private room',211,82,1.55,1,231,22,0.328115,7.068256,2.103188,175
'Private room',35,413,0.3,1,0,1,0.22706,5.573165,2.755941,85
'Entire home/apt',38,138,0.28,2,286,2,0.262213,4.296978,4.24675,120
'Private room',38,1652,0.3,2,341,0,0.046104,5.073049,5.089112,75
'Entire home/apt',52,2919,0.37,1,218,0,0.234006,7.00853,0.704552,299
'Entire home/apt',237,111,1.73,1,301,12,0.877703,3.33782,3.065244,119
'Entire home/apt',92,739,0.68,1,235,0,0.073005,7.60857,5.853375,65
'Entire home/apt',26,132,0.19,1,2,6,0.164885,6.936272,0.777989,240
'Private room',27,1864,0.2,4,365,0,0.169557,6.846106,6.194478,165
'Private room',76,1047,0.57,3,2,0,0.089552,7.604799,5.911988,81
'Private room',59,84,0.44,3,1,7,0.089552,7.604799,5.911988,70
'Private room',27,1065,0.46,2,218,0,0.200279,7.361316,1.278606,150
'Entire home/apt',8,3682,0.06,2,286,0,0.223375,8.45538,6.471889,94
'Entire home/apt',47,1412,0.34,1,90,0,0.216535,4.717767,4.021528,149
'Entire home/apt',3,1112,0.02,1,0,0,0.081639,5.619439,3.057846,75
'Entire home/apt',47,150,0.55,1,119,4,0.231774,6.491051,3.527926,582
'Entire home/apt',350,85,2.49,1,245,28,0.100251,7.370382,2.68349,175
'Private room',3,3767,0.02,3,336,0,0.581679,6.730548,3.202542,100
'Private room',262,982,1.94,1,23,0,0.222235,5.682729,2.576075,78
'Entire home/apt',26,2491,0.2,11,364,0,0.234182,6.190768,1.180156,2500
'Entire home/apt',28,1149,0.23,1,0,0,0.137237,8.433309,6.234195,130
'Entire home/apt',5,3681,0.04,2,365,0,0.131367,5.35852,3.256652,187
'Entire home/apt',49,138,0.4,1,308,7,0.060443,6.106671,4.337481,146
'Private room',0,-1,0,1,0,0,0.084335,5.440687,2.925357,50
'Entire home/apt',411,87,3.06,3,266,49,0.258707,7.167547,2.181482,179
'Entire home/apt',191,89,1.41,1,85,2,0.182258,5.105371,3.081732,250
'Private room',114,209,0.97,2,257,2,0.203966,6.35546,8.811028,49
'Entire home/apt',5,1240,0.09,1,0,0,0.136456,7.157029,1.298625,550
'Private room',115,91,0.86,1,314,8,0.542294,6.134347,1.342149,189
'Private room',62,1143,0.56,1,0,0,0.151256,6.641673,6.639493,55
'Private room',127,108,0.95,1,62,10,0.347934,7.12276,2.550675,175
'Entire home/apt',19,110,0.14,2,234,1,0.043387,7.753802,2.545993,399
'Entire home/apt',121,107,0.91,1,310,3,0.124291,4.092875,3.048741,100
'Entire home/apt',245,84,1.85,1,276,29,0.055443,7.536857,5.041291,134
'Entire home/apt',6,2656,0.04,1,0,0,0.163671,9.398798,5.286089,350
'Entire home/apt',5,2647,0.04,1,0,0,0.353567,6.552887,1.47189,139
'Entire home/apt',328,87,2.45,2,320,16,0.416984,6.135689,10.263045,173
'Entire home/apt',118,104,0.88,1,72,8,0.327349,10.230288,6.837211,100
'Private room',157,95,1.16,1,257,15,0.163844,5.989832,8.249171,40
'Entire home/apt',2,2636,0.01,1,0,0,0.061332,7.324885,1.491036,250
'Private room',42,84,0.32,3,348,16,0.17956,5.126086,9.276429,66
'Entire home/apt',38,982,0.29,30,102,0,0.349582,5.195507,2.2454,339
'Entire home/apt',98,972,0.72,2,5,0,0.426365,6.958108,3.597313,85
'Entire home/apt',26,2937,0.2,1,0,0,0.263695,8.222379,6.293314,250
'Private room',43,1902,0.35,2,341,0,0.22624,6.261793,5.033105,82
'Entire home/apt',6,1966,0.08,1,0,0,0.027443,7.623356,1.924313,246
'Entire home/apt',63,1768,0.48,1,0,0,0.132083,6.991211,1.699842,165
'Private room',20,81,0.23,3,0,7,0.161905,8.325729,4.774015,90
'Entire home/apt',1,3696,0.01,1,0,0,0.088024,7.599431,1.646043,200
'Private room',121,160,1.45,1,258,3,0.225779,4.837957,3.884516,130
'Private room',101,1053,0.79,1,307,0,0.435123,6.704937,0.563877,142
'Private room',1,3131,0.01,1,0,0,0.339799,7.369799,1.128241,282
'Private room',4,2692,0.04,1,0,0,0.299375,5.928545,7.137942,125
'Entire home/apt',21,313,0.16,1,164,4,0.069985,5.919653,4.070922,150
'Private room',7,1500,0.05,4,365,0,0.140584,6.823332,6.197443,100
'Entire home/apt',77,198,0.59,1,82,1,0.148593,7.726878,2.92055,121
'Entire home/apt',49,2904,0.4,1,0,0,0.123587,8.089982,2.965784,122
'Entire home/apt',273,102,2.04,1,298,34,0.135332,5.609441,8.485624,183
'Private room',284,106,2.18,1,299,28,0.331438,9.26661,5.858957,135
'Entire home/apt',103,1049,0.77,1,0,0,0.047091,8.551081,6.414645,108
'Private room',11,1877,0.08,2,280,0,0.259464,4.591603,4.3095,125
'Entire home/apt',0,-1,0,2,327,0,0.24594,4.520236,4.338698,400
'Entire home/apt',10,1304,0.12,1,0,0,0.194605,6.595605,0.344484,175
'Private room',164,81,1.25,1,297,34,0.212329,5.56769,2.042329,156
'Entire home/apt',45,73,0.34,1,83,4,0.006106,4.712425,1.664037,179
'Entire home/apt',310,70,2.39,1,244,33,0.171597,8.542713,6.139754,110
'Entire home/apt',37,1053,0.28,1,0,0,0.294691,8.421445,5.561623,175
'Private room',5,1109,0.05,1,0,0,0.123161,8.699317,5.511182,55
'Entire home/apt',48,124,0.44,30,229,9,0.349582,5.195507,2.2454,339
'Entire home/apt',28,181,0.25,30,221,3,0.349582,5.195507,2.2454,339
'Entire home/apt',81,82,0.63,30,230,11,0.349582,5.195507,2.2454,339
'Private room',101,2572,0.78,1,0,0,0.177431,5.004799,3.777559,75
'Private room',23,424,0.21,1,173,1,0.190504,5.260452,3.005332,205
'Entire home/apt',33,90,0.25,30,232,4,0.349582,5.195507,2.2454,339
'Entire home/apt',28,72,0.22,30,224,3,0.349582,5.195507,2.2454,339
'Entire home/apt',48,144,0.37,30,232,2,0.349582,5.195507,2.2454,339
'Entire home/apt',64,116,0.49,30,229,10,0.349582,5.195507,2.2454,339
'Entire home/apt',75,122,0.59,30,223,18,0.349582,5.195507,2.2454,339
'Private room',11,99,0.09,30,87,3,0.349582,5.195507,2.2454,529
'Private room',6,72,0.05,30,222,2,0.349582,5.195507,2.2454,372
'Private room',7,836,0.07,30,219,0,0.349582,5.195507,2.2454,336
'Hotel room',26,73,0.21,30,220,12,0.349582,5.195507,2.2454,308
'Entire home/apt',49,104,0.38,2,209,4,0.270405,6.808638,5.494845,77
'Private room',3,144,0.23,1,0,2,0.212666,8.226364,5.039625,160
'Private room',7,1460,0.06,30,92,0,0.349582,5.195507,2.2454,728
'Entire home/apt',2,3228,0.02,1,0,0,0.133467,8.330982,5.400838,110
'Private room',34,239,0.45,1,126,2,0.225394,6.412386,3.712535,93
'Entire home/apt',263,70,2.07,1,230,37,0.164985,9.584288,6.188713,130
'Private room',95,89,0.73,1,12,16,0.241993,7.363664,1.165982,128
'Entire home/apt',74,388,0.58,1,35,1,0.385597,6.690237,0.52105,175
'Entire home/apt',215,82,1.63,1,299,3,0.20594,7.301573,5.008762,213
'Entire home/apt',127,129,0.98,1,288,2,0.065155,9.500931,5.452956,259
'Entire home/apt',29,137,0.22,2,313,3,0.04468,7.732477,2.647176,495
'Entire home/apt',37,199,0.28,1,298,1,0.121794,7.93274,5.442683,193
'Entire home/apt',57,177,0.44,1,0,9,0.180952,7.709084,1.6538,375
