neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9252,-77.03629,Entire home/apt,164,1.64,6,172,1,67,0.27373018,5.044484995,1.242446494,184
NA,"Capitol Hill, Lincoln Park",38.8892,-76.98778,Entire home/apt,313,3,1,141,56,35,0.548661748,3.739152968,2.955576176,114
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93362,-77.02555,Entire home/apt,138,3.32,1,37,46,51,0.287306027,5.663845337,1.925434124,112
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91496,-77.0425,Private room,10,0.14,46,78,2,157,0.372811116,4.345260647,0.616591576,55
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92261,-77.04194,Private room,65,0.87,2,343,8,163,0.597321753,4.870702589,1.098322292,85
NA,"Georgetown, Burleith/Hillandale",38.90538,-77.06741,Entire home/apt,112,1.08,1,89,30,85,0.675726307,4.018368167,1.670572726,199
NA,"Brightwood Park, Crestwood, Petworth",38.94306,-77.04405,Private room,22,0.18,5,105,0,2911,0.95447201,6.285818162,2.504947662,59
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91579,-77.04042,Entire home/apt,132,1.2,2,97,0,870,0.456999848,4.397124236,0.623091413,145
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91564,-77.03796,Entire home/apt,70,0.93,1,49,64,35,0.511973375,4.384283516,0.585228845,130
NA,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93449,-77.06499,Entire home/apt,23,0.22,1,48,5,61,0.379701061,5.876979768,2.428580922,800
NA,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87859,-77.02019,Entire home/apt,129,1.26,2,0,0,963,0.207019115,2.062668218,2.174728269,149
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93443,-77.03307,Entire home/apt,41,0.42,1,175,1,206,0.455183911,5.686384777,1.890471585,100
NA,"Brightwood Park, Crestwood, Petworth",38.94012,-77.03388,Private room,43,0.4,1,0,0,2235,0.598012661,6.076954715,2.277457082,40
NA,"Brightwood Park, Crestwood, Petworth",38.95792,-77.02189,Entire home/apt,155,1.27,1,0,0,1280,1.153390422,7.352410955,3.594358879,89
NA,"Union Station, Stanton Park, Kingman Park",38.89489,-76.98935,Entire home/apt,316,2.89,8,61,31,43,0.795703054,3.9605019,2.731643019,132
NA,"Union Station, Stanton Park, Kingman Park",38.89689,-76.99644,Private room,397,3.81,1,281,32,48,0.602415479,3.824343589,2.320833737,63
