@relation 'nyc_listings - full-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R6-8'

@attribute host_is_superhost {f,t}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {f,t}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
t,1,1,t,f,'Private room',4,1,2,3,30,t,2,9,19,86,335,37,4,4.91,4.92,4.9,4.9,4.91,4.89,4.85,f,1,0,1,0,2.25,0.023261,4.485019,2.28863,145
f,2,12,t,t,'Private room',2,1,1,3,30,t,0,1,27,27,239,26,2,4.66,4.74,4.59,4.67,4.74,4.5,4.66,f,2,0,2,0,1.67,0.255667,4.603336,4.346799,74
f,1,1,t,t,'Entire home/apt',2,1,1,30,60,t,0,0,5,280,19,0,0,4.81,4.78,4.44,4.94,5,4.67,4.83,f,1,1,0,0,0.14,0.202692,7.010269,0.783707,150
t,1,1,t,t,'Entire home/apt',3,1,1,30,90,t,0,0,0,49,114,7,1,4.94,4.97,4.91,4.96,4.96,4.8,4.88,f,1,1,0,0,0.83,0.132395,9.776776,6.115458,130
f,7,8,t,t,'Entire home/apt',2,1,1,30,365,t,0,0,1,1,73,1,0,4.5,4.6,4.4,4.7,4.52,4.03,4.36,f,1,1,0,0,0.47,0.11969,8.081987,5.682833,119
t,14,19,t,f,'Entire home/apt',2,1,2,3,29,t,6,19,33,302,104,40,3,4.83,4.89,4.83,4.96,4.9,4.91,4.81,f,1,1,0,0,0.72,0.370339,1.85677,4.450088,149
f,3,4,t,t,'Private room',2,1,1,1,1125,t,4,8,22,253,169,15,2,4.67,4.76,4.44,4.89,4.88,4.53,4.73,f,3,0,3,0,1.13,0.055953,7.621741,5.878685,84
t,3,5,t,t,'Entire home/apt',3,1,1,7,90,t,0,4,4,4,269,26,1,4.7,4.83,4.81,4.95,4.94,4.89,4.63,f,1,1,0,0,1.88,0.240656,8.925632,4.709624,208
f,1,11,t,t,'Entire home/apt',2,1,1,30,270,t,0,0,28,303,35,0,0,4.84,4.82,4.68,4.88,4.91,5,4.67,f,1,1,0,0,0.26,0.027009,7.474782,1.484786,288
f,3,4,t,t,'Entire home/apt',2,2,2,1,60,t,4,13,37,121,148,36,1,4.71,4.79,4.56,4.68,4.53,4.75,4.69,f,1,1,0,0,0.95,0.248902,6.159319,4.625417,245
f,1,1,t,t,'Private room',4,3,3,60,90,t,0,0,0,0,38,0,0,4.9,4.81,4.48,4.97,4.97,4.52,4.58,f,1,0,1,0,0.28,0.217232,6.397479,3.639775,175
t,1,1,t,t,'Entire home/apt',4,1,2,3,365,t,0,0,0,0,122,7,0,4.83,4.89,4.73,4.93,4.94,4.88,4.67,f,1,1,0,0,0.89,0.190155,6.311061,0.494822,250
f,1,2,t,t,'Entire home/apt',2,1,2,30,1125,t,0,0,0,98,179,0,0,4.82,4.88,4.91,4.91,4.93,4.8,4.78,f,1,1,0,0,1.15,0.292128,5.384772,2.250572,99
t,1,1,t,t,'Entire home/apt',2,1,1,2,7,t,1,3,3,191,170,28,2,4.98,4.99,4.97,4.96,4.99,4.97,4.91,f,1,1,0,0,1.24,0.123924,6.690175,1.129059,330
t,1,1,t,t,'Entire home/apt',2,1,2,10,90,t,29,59,89,364,145,6,0,4.78,4.89,4.91,4.88,4.93,4.88,4.54,f,1,1,0,0,1.33,0.351005,6.507099,3.184306,395
t,2,2,t,t,'Private room',2,1,1,30,730,t,0,27,57,332,60,2,0,4.56,4.38,3.91,4.85,4.77,4.17,4.46,f,2,0,2,0,0.4,0.242094,7.471715,5.224025,70
t,30,40,t,t,'Private room',6,2,3,2,365,t,16,46,76,91,9,0,0,4.17,4.71,4.86,4.57,4.57,3.57,4.57,f,30,16,10,0,0.07,0.334402,5.194973,2.229077,728
t,2,2,t,t,'Entire home/apt',2,1,1,3,365,t,3,4,8,218,340,55,3,4.87,4.93,4.95,4.9,4.92,4.58,4.81,f,2,2,0,0,2.36,0.259273,4.267753,4.197475,160
f,2,2,t,t,'Private room',1,1,1,2,29,t,6,11,24,283,382,48,2,4.58,4.72,4.7,4.75,4.73,4.86,4.63,f,2,0,2,0,2.47,0.282251,6.852055,0.54703,92
f,1,2,t,t,'Entire home/apt',3,1,1,1,365,t,0,0,0,249,281,1,0,4.71,4.7,4.74,4.78,4.77,4.74,4.73,f,1,1,0,0,2.03,0.443923,7.947523,4.5421,375
t,1,3,t,t,'Entire home/apt',3,1,2,30,1125,t,17,47,77,257,32,6,0,4.61,4.69,4.5,5,4.84,4.72,4.41,f,1,1,0,0,0.29,0.07711,7.651386,2.567262,206
f,2,2,t,t,'Private room',2,1,1,1,27,t,1,2,9,235,615,51,3,4.71,4.68,4.74,4.75,4.81,4.65,4.71,f,2,0,2,0,4.44,0.069394,5.072105,5.063539,60
f,1,1,t,t,'Private room',1,1,1,7,60,t,0,1,1,190,49,0,0,4.85,4.79,4.79,4.83,4.83,4.83,4.64,f,1,0,1,0,0.33,0.422431,6.712684,3.377579,82
f,1,1,t,f,'Private room',4,2,3,2,30,t,0,0,0,0,25,0,0,4.72,4.72,4.64,4.76,4.76,4.84,4.8,f,1,0,1,0,0.21,0.251801,10.174084,6.823089,139
f,1,2,t,t,'Private room',1,1,1,2,90,t,30,60,90,90,17,1,0,4.93,4.87,4.67,4.93,4.86,5,4.73,f,1,0,1,0,0.12,0.149603,4.156336,15.098755,114
f,2,2,t,t,'Entire home/apt',4,2,2,90,365,t,26,41,54,114,5,0,0,5,4.8,4.8,5,5,4.8,4.8,f,1,1,0,0,0.06,0.063462,7.055223,1.046123,400
t,3,4,t,t,'Private room',1,1,1,5,30,t,2,8,17,272,442,19,2,4.86,4.83,4.78,4.94,4.93,4.64,4.85,f,2,0,2,0,3.21,0.157612,5.59887,5.130553,81
f,1,4,t,t,'Entire home/apt',4,4,4,30,730,t,6,7,7,134,154,2,0,4.93,4.95,4.93,4.98,4.98,4.85,4.89,f,1,1,0,0,1.06,0.32705,8.527902,5.591003,175
t,1,1,t,t,'Entire home/apt',4,2,2,2,365,t,0,0,0,38,123,14,0,4.89,4.93,4.8,4.9,4.92,4.81,4.83,f,1,1,0,0,0.89,0.182906,7.826354,5.149159,150
