host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
f,2,4,t,t,Near North Side,41.89395,-87.62593,Entire home/apt,2,1,1,32,365,t,0,0,13,143,35,3,0,4.65,4.76,4.47,4.67,4.74,4.91,4.52,f,1,1,0,0,0.3,0.182975691,10.15710739,1.113875602,96
f,4,5,t,f,North Lawndale,41.85428,-87.70852,Private room,4,1,4,2,1125,t,0,0,0,0,6,0,0,4.17,4.5,4.33,4.5,4.33,3.33,4.5,f,4,0,4,0,0.07,0.167690225,5.285646494,4.6016434,45
f,4,5,t,f,North Lawndale,41.8544,-87.70852,Private room,4,1,1,32,1125,t,29,59,89,89,11,0,0,4.36,4.7,4.6,5,4.9,4.5,4.7,f,4,0,4,0,0.13,0.168210687,5.293028246,4.598692516,45
f,4,5,t,f,North Lawndale,41.85454,-87.70802,Private room,1,1,1,32,1125,t,0,0,0,0,5,0,0,4,4.8,3.8,4.4,4.2,4.6,4.6,f,4,0,4,0,0.1,0.142366453,5.314037342,4.569741847,45
t,75,216,t,t,Near South Side,41.85395,-87.62468,Entire home/apt,3,1,2,28,1123,t,13,43,73,348,23,0,0,5,5,4.75,5,5,4.81,4.69,f,68,68,0,0,0.2,0.11467928,8.403291158,1.689636542,140
f,1,1,t,t,Uptown,41.97271,-87.65236,Entire home/apt,2,,1,7,400,t,0,0,1,2,63,14,1,4.63,4.8,4.66,4.97,4.97,4.71,4.73,t,1,1,0,0,0.55,0.342184489,13.78921437,6.643284667,82
f,1,1,t,t,Lake View,41.93597,-87.65182,Entire home/apt,4,2,2,4,1125,t,9,33,63,141,11,6,2,5,4.89,5,4.89,4.89,4.89,4.67,t,1,1,0,0,0.15,0.083396882,11.71500319,4.170107269,323
t,3,4,t,t,Lincoln Park,41.92655,-87.64226,Entire home/apt,2,1,1,2,28,t,8,15,24,24,624,61,5,4.75,4.79,4.73,4.85,4.86,4.93,4.72,f,3,3,0,0,5.57,0.582826517,11.41128638,3.411570483,127
t,1,2,t,t,Near West Side,41.87096,-87.68338,Entire home/apt,6,3,4,32,1125,t,18,48,78,258,339,22,1,4.92,4.95,4.97,4.98,4.96,4.7,4.87,t,1,1,0,0,3,0.360105955,6.96917738,2.9666609,243
f,2,3,t,t,West Town,41.90914,-87.67859,Entire home/apt,3,2,2,20,1124,t,7,37,67,342,199,11,1,4.9,4.9,4.78,4.92,4.92,4.95,4.85,f,2,2,0,0,1.76,0.072126501,9.404086001,3.418139882,144
