host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
FALSE,2,2,TRUE,TRUE,"Georgetown, Burleith/Hillandale",38.89355,-77.07074,Entire home/apt,2,1,1,60,1125,TRUE,0,0,4,279,6,0,0,4.5,4.83,4.67,4.33,4.83,4.83,4.33,FALSE,2,2,0,0,0.12,1319,0.168389,3.353634,2.025783,68
FALSE,7,11,TRUE,TRUE,"Georgetown, Burleith/Hillandale",38.89409,-77.06991,Entire home/apt,2,1,1,70,1125,TRUE,16,16,16,242,8,1,0,4.88,5,4.5,4.88,4.75,4.75,4.25,FALSE,4,4,0,0,0.12,141,0.141228,3.362921,1.969553,72
TRUE,4,4,TRUE,TRUE,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,3,1,2,1,1125,TRUE,3,10,23,298,443,9,0,4.82,4.88,4.91,4.94,4.9,4.55,4.74,FALSE,4,0,4,0,2.73,57,0.349523,4.48759,1.745074,75
FALSE,25,30,TRUE,TRUE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.906966,-76.983626,Private room,2,1,1,1,365,TRUE,11,37,67,342,6,6,0,4.5,4.5,4.67,4.5,4.5,4.5,4.83,TRUE,11,4,6,1,2.73,133,1.028011,4.748084,2.823544,41
FALSE,120,175,TRUE,TRUE,"Howard University, Le Droit Park, Cardozo/Shaw",38.914748,-77.023078,Entire home/apt,4,2,2,15,365,TRUE,25,51,81,355,5,5,2,4.8,4.8,5,4.8,5,4.8,5,FALSE,15,15,0,0,2.73,548,0.106767,4.391573,0.898817,234
FALSE,1,1,TRUE,TRUE,"Kalorama Heights, Adams Morgan, Lanier Heights",38.925585,-77.039717,Entire home/apt,2,,1,20,90,TRUE,4,34,64,338,3,3,2,4.33,4.67,5,4,4.33,4.67,4.33,TRUE,1,1,0,0,2.73,61,0.410428,5.071622,1.27735,120
FALSE,1,1,TRUE,TRUE,"Union Station, Stanton Park, Kingman Park",38.897575,-76.988345,Entire home/apt,5,2,3,2,365,TRUE,21,49,79,347,3,3,2,5,5,4.67,5,5,4.67,5,FALSE,1,1,0,0,2.73,149,0.957649,4.085012,2.657723,206
FALSE,1,1,TRUE,FALSE,"Brightwood Park, Crestwood, Petworth",38.954919,-77.024978,Entire home/apt,4,2,3,2,30,TRUE,8,22,40,100,6,6,1,4.83,4.83,4.83,5,5,4.67,4.83,TRUE,1,1,0,0,2.73,143,1.208585,7.126495,3.352721,111
TRUE,2,2,TRUE,TRUE,"Brightwood Park, Crestwood, Petworth",38.944556,-77.017037,Entire home/apt,4,1,1,2,365,TRUE,14,39,69,248,3,3,2,5,5,5,5,5,5,4.67,TRUE,1,1,0,0,2.73,65,0.597446,6.472779,2.78428,120
TRUE,4,10,TRUE,TRUE,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89898,-77.01629,Entire home/apt,2,1,1,31,1125,TRUE,30,60,90,90,69,22,0,4.78,4.85,4.69,4.51,4.66,4.96,4.67,FALSE,1,1,0,0,0.59,66,0.199721,3.427924,1.230804,250
FALSE,1,1,TRUE,TRUE,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95345,-76.99504,Entire home/apt,3,1,2,1,1125,TRUE,0,30,60,240,43,12,0,4.57,4.83,4.86,4.86,4.95,4.71,4.64,FALSE,1,1,0,0,0.59,1018,0.395398,7.349521,3.886666,107
FALSE,2,2,TRUE,TRUE,"Takoma, Brightwood, Manor Park",38.96614,-77.0319,Entire home/apt,3,,2,31,1125,TRUE,0,0,1,110,53,2,1,4.3,4.44,4.4,4.56,4.66,4.42,4.46,TRUE,2,2,0,0,0.59,1104,0.999921,7.874756,4.075485,60
TRUE,1,2,TRUE,TRUE,"Brightwood Park, Crestwood, Petworth",38.95877,-77.02372,Entire home/apt,4,1,1,31,1125,TRUE,0,0,1,276,24,6,0,4.83,4.92,4.79,4.96,4.96,4.83,4.88,FALSE,1,1,0,0,0.59,367,1.230388,7.397415,3.626247,75
FALSE,14,44,TRUE,TRUE,"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064,Entire home/apt,4,2,2,31,765,TRUE,0,14,44,133,50,3,0,4.5,4.68,4.2,4.84,4.78,4.96,4.45,TRUE,12,2,10,0,0.59,94,0.358904,4.298081,0.531682,200
TRUE,2,4,TRUE,TRUE,"Cathedral Heights, McLean Gardens, Glover Park",38.92378,-77.0736,Entire home/apt,16,7,10,1,7,TRUE,14,35,57,332,50,13,2,4.9,4.88,4.9,4.94,4.88,4.92,4.72,FALSE,2,2,0,0,0.59,44,1.12017,5.299339,2.256589,1141
FALSE,2,3,TRUE,FALSE,"Capitol Hill, Lincoln Park",38.88458,-76.9825,Private room,1,1,1,1,1125,TRUE,0,0,0,0,1,1,0,5,5,5,5,5,5,5,TRUE,2,0,2,0,0.59,52,0.278153,3.685217,3.278548,76
