@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',106,3,1,17,0.13,82,0.18607,2.11836,2.420241,392
'Entire home/apt',343,3,0,1,0.13,41,0.710939,6.644911,2.892509,85
'Entire home/apt',0,2,0,3,0.13,1792,0.192917,4.168994,0.9223,180
'Entire home/apt',223,1,1,235,0.13,121,0.135202,3.098941,1.100385,170
'Private room',89,2,0,15,0.13,59,0.070681,3.506094,1.627112,226
'Entire home/apt',0,1,1,96,0.13,89,0.318669,3.463734,1.994792,182
'Entire home/apt',0,1,1,3,0.13,2762,0.65021,5.430379,5.261867,60
'Entire home/apt',71,15,0,1,0.13,72,1.185291,9.563713,5.871566,125
'Entire home/apt',111,14,5,3,0.13,52,0.781904,9.531748,5.761924,140
'Entire home/apt',103,1,1,1,0.13,70,0.61956,7.838805,4.624879,55
'Private room',336,5,2,46,0.13,1094,0.633934,9.845604,6.068147,34
'Entire home/apt',65,1,1,1,0.13,-1,0.330438,9.789463,5.998052,70
'Private room',197,111,5,1,0.91,60,0.338897,4.874806,1.178458,90
'Private room',32,70,21,3,0.91,53,0.329785,3.183466,2.301455,100
'Entire home/apt',0,68,0,1,0.91,86,0.847169,9.053745,5.252747,87
'Entire home/apt',75,47,8,6,0.91,151,0.487811,6.378872,2.608791,99
'Entire home/apt',0,46,0,1,0.91,84,0.965921,7.247147,3.504095,34
'Entire home/apt',79,38,9,1,0.91,46,1.261061,5.546581,5.824811,109
'Entire home/apt',0,38,0,1,0.91,106,0.442527,5.104821,1.315114,120
'Entire home/apt',149,28,12,1,0.91,49,0.907766,5.726175,2.533087,169
'Entire home/apt',317,12,11,1,0.91,1033,1.017153,4.704482,3.228322,130
