@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',59,0.67,1,284,5,141,8.405331,0.871607,3.971919,90
'Entire home/apt',64,1.82,1,82,24,46,11.086196,0.836705,6.524617,118
'Entire home/apt',25,0.28,1,0,0,1886,7.775206,0.078683,1.469687,150
'Entire home/apt',8,0.12,1,0,0,1831,9.634049,0.109387,7.669401,69
'Entire home/apt',46,1.51,1,0,8,126,10.915033,0.146902,3.286517,113
'Entire home/apt',293,3.3,19,330,35,52,9.149596,0.109779,1.86295,275
'Entire home/apt',13,0.15,9,306,0,1767,8.612521,0.142076,8.598991,106
'Entire home/apt',192,2.17,2,0,1,126,10.018514,0.073245,1.341824,149
'Entire home/apt',28,0.32,1,0,0,1025,12.191272,0.506303,9.34698,82
'Private room',47,0.53,2,353,7,44,6.031278,0.316915,3.231979,100
'Entire home/apt',214,2.79,1,312,55,50,10.458522,0.21073,5.865181,141
'Entire home/apt',12,0.14,68,349,2,341,10.086232,0.405706,0.859328,181
'Entire home/apt',207,2.34,3,82,15,55,7.849306,0.282947,2.025244,156
'Entire home/apt',552,6.22,2,25,24,71,8.979067,0.372758,2.619347,201
'Entire home/apt',67,0.78,22,353,10,53,10.713409,0.156264,2.437762,292
'Private room',77,0.91,1,340,10,57,10.564736,0.336643,7.3108,93
'Entire home/apt',54,0.68,22,349,13,59,11.536635,0.423852,5.309702,286
'Entire home/apt',59,0.76,22,337,8,82,10.732769,0.168709,2.445847,303
'Entire home/apt',48,0.62,22,341,18,59,10.732769,0.168709,2.445847,308
'Entire home/apt',38,0.5,22,356,10,71,11.366413,0.544012,5.154195,283
'Private room',25,0.28,2,351,3,44,5.988648,0.436152,3.2557,96
'Entire home/apt',162,1.85,1,68,50,39,9.125854,0.295421,2.871568,344
'Private room',110,1.26,1,326,7,45,8.599365,0.33645,7.320147,61
'Entire home/apt',4,0.05,1,0,0,738,10.235573,0.050891,5.599122,175
'Entire home/apt',410,4.62,1,317,64,42,10.328002,0.259632,5.3923,65
'Entire home/apt',287,3.23,1,321,48,38,11.382955,0.361738,7.375875,95
'Private room',152,1.79,2,64,29,53,11.45306,0.395386,7.389753,88
