@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.75205,-87.56057,'Private room',10,0.12,4,257,4,58,10.732828,0.361179,9.483339,35
NA,41.88765,-87.61765,'Entire home/apt',25,0.25,68,361,0,1573,10.165042,0.437706,0.935041,160
NA,41.85255,-87.62121,'Entire home/apt',6,0.06,68,365,0,2674,8.508653,0.274083,1.824272,200
NA,41.91387,-87.67182,'Entire home/apt',129,2.09,2,91,8,98,9.85929,0.289116,3.369784,248
NA,41.93308,-87.6511,'Entire home/apt',151,2.47,1,263,13,66,11.558002,0.114811,3.96788,277
NA,41.85361,-87.62434,'Entire home/apt',15,0.15,68,343,0,838,8.40566,0.120785,1.715905,120
NA,41.68451,-87.67925,'Entire home/apt',144,1.42,2,144,10,68,8.06174,0.415869,13.627848,103
NA,41.68451,-87.67913,'Entire home/apt',145,1.61,2,110,3,54,8.064988,0.409341,13.626552,89
NA,41.85247,-87.62204,'Entire home/apt',8,0.08,68,341,0,2147,8.467546,0.239105,1.818517,200
NA,41.9443,-87.79831,'Private room',29,0.29,2,105,4,46,6.277578,1.539395,10.272131,45
NA,41.85434,-87.62194,'Entire home/apt',7,0.07,68,348,0,1565,8.542677,0.26115,1.694679,135
NA,41.89098,-87.62238,'Entire home/apt',5,0.05,68,365,0,2831,10.142508,0.292566,0.976706,155
NA,41.89288,-87.68458,'Entire home/apt',157,1.55,3,300,5,115,8.252316,0.323689,3.16007,84
NA,41.90026,-87.66871,'Entire home/apt',187,2.58,2,133,60,54,9.112584,0.242528,2.617519,236
NA,41.88445,-87.65146,'Private room',67,0.67,1,329,8,108,8.74774,0.074763,1.261191,136
NA,41.78225,-87.72806,'Private room',330,3.35,2,313,7,81,1.354067,0.653863,8.516076,37
NA,41.90332,-87.6697,'Entire home/apt',269,2.68,1,0,0,793,9.269409,0.117816,2.788237,159
NA,41.77206,-87.56982,'Entire home/apt',245,2.42,1,302,0,1092,10.01532,0.466248,8.016233,70
NA,41.91571,-87.67449,'Entire home/apt',414,4.09,1,144,72,54,9.909616,0.348016,3.562086,96
NA,41.96136,-87.6784,'Entire home/apt',116,1.35,1,301,21,52,12.418545,0.177932,6.328168,175
